[15-Mar-2013 11:14:15 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[10-Apr-2013 11:19:01 America/Los_Angeles] PHP Notice:  Undefined index: newpassword in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[10-Apr-2013 11:19:01 America/Los_Angeles] PHP Notice:  A session had already been started - ignoring session_start() in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 49
[10-Apr-2013 11:19:01 America/Los_Angeles] PHP Notice:  Use of undefined constant myusername - assumed 'myusername' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 50
[10-Apr-2013 11:19:01 America/Los_Angeles] PHP Notice:  Undefined index: Submit in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 52
[10-Apr-2013 11:19:01 America/Los_Angeles] PHP Notice:  Use of undefined constant msg - assumed 'msg' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[10-Apr-2013 11:19:01 America/Los_Angeles] PHP Notice:  Undefined index: msg in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[15-Apr-2013 08:31:34 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[18-Apr-2013 16:13:47 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[18-Apr-2013 16:13:54 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[22-Apr-2013 09:34:48 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[23-Apr-2013 08:52:20 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[23-Apr-2013 14:14:09 America/Los_Angeles] PHP Notice:  Use of undefined constant newpassword - assumed 'newpassword' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[23-Apr-2013 14:14:09 America/Los_Angeles] PHP Notice:  Undefined index: newpassword in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[23-Apr-2013 14:14:09 America/Los_Angeles] PHP Notice:  A session had already been started - ignoring session_start() in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 49
[23-Apr-2013 14:14:09 America/Los_Angeles] PHP Notice:  Use of undefined constant myusername - assumed 'myusername' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 50
[23-Apr-2013 14:14:09 America/Los_Angeles] PHP Notice:  Undefined index: Submit in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 52
[23-Apr-2013 14:14:09 America/Los_Angeles] PHP Notice:  Use of undefined constant msg - assumed 'msg' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[23-Apr-2013 14:14:09 America/Los_Angeles] PHP Notice:  Undefined index: msg in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[23-Apr-2013 14:14:19 America/Los_Angeles] PHP Notice:  Use of undefined constant newpassword - assumed 'newpassword' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[23-Apr-2013 14:14:19 America/Los_Angeles] PHP Notice:  A session had already been started - ignoring session_start() in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 49
[23-Apr-2013 14:14:19 America/Los_Angeles] PHP Notice:  Use of undefined constant myusername - assumed 'myusername' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 50
[23-Apr-2013 14:14:19 America/Los_Angeles] PHP Notice:  Use of undefined constant msg - assumed 'msg' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[23-Apr-2013 14:14:19 America/Los_Angeles] PHP Notice:  Undefined index: msg in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[23-Apr-2013 14:14:21 America/Los_Angeles] PHP Notice:  Use of undefined constant newpassword - assumed 'newpassword' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[23-Apr-2013 14:14:21 America/Los_Angeles] PHP Notice:  Undefined index: newpassword in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[23-Apr-2013 14:14:21 America/Los_Angeles] PHP Notice:  A session had already been started - ignoring session_start() in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 49
[23-Apr-2013 14:14:21 America/Los_Angeles] PHP Notice:  Use of undefined constant myusername - assumed 'myusername' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 50
[23-Apr-2013 14:14:21 America/Los_Angeles] PHP Notice:  Undefined index: Submit in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 52
[23-Apr-2013 14:14:21 America/Los_Angeles] PHP Notice:  Use of undefined constant msg - assumed 'msg' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[13-May-2013 16:54:49 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[14-May-2013 08:40:06 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[14-May-2013 08:40:53 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[16-May-2013 13:17:08 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[21-May-2013 09:58:41 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[23-May-2013 15:46:18 America/Los_Angeles] PHP Notice:  Use of undefined constant newpassword - assumed 'newpassword' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[23-May-2013 15:46:18 America/Los_Angeles] PHP Notice:  Undefined index: newpassword in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[23-May-2013 15:46:18 America/Los_Angeles] PHP Notice:  A session had already been started - ignoring session_start() in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 49
[23-May-2013 15:46:18 America/Los_Angeles] PHP Notice:  Use of undefined constant myusername - assumed 'myusername' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 50
[23-May-2013 15:46:18 America/Los_Angeles] PHP Notice:  Undefined index: Submit in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 52
[23-May-2013 15:46:18 America/Los_Angeles] PHP Notice:  Use of undefined constant msg - assumed 'msg' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[23-May-2013 15:46:18 America/Los_Angeles] PHP Notice:  Undefined index: msg in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[24-May-2013 11:27:17 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[28-May-2013 14:21:00 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtoolAMS.php on line 21
[29-May-2013 12:07:35 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[30-May-2013 11:46:05 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtoolAMS.php on line 21
[30-May-2013 12:21:13 America/Los_Angeles] PHP Notice:  Use of undefined constant newpassword - assumed 'newpassword' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[30-May-2013 12:21:13 America/Los_Angeles] PHP Notice:  Undefined index: newpassword in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[30-May-2013 12:21:13 America/Los_Angeles] PHP Notice:  A session had already been started - ignoring session_start() in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 49
[30-May-2013 12:21:13 America/Los_Angeles] PHP Notice:  Use of undefined constant myusername - assumed 'myusername' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 50
[30-May-2013 12:21:13 America/Los_Angeles] PHP Notice:  Undefined index: Submit in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 52
[30-May-2013 12:21:13 America/Los_Angeles] PHP Notice:  Use of undefined constant msg - assumed 'msg' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[30-May-2013 12:21:13 America/Los_Angeles] PHP Notice:  Undefined index: msg in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[30-May-2013 12:21:19 America/Los_Angeles] PHP Notice:  Use of undefined constant newpassword - assumed 'newpassword' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[30-May-2013 12:21:19 America/Los_Angeles] PHP Notice:  A session had already been started - ignoring session_start() in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 49
[30-May-2013 12:21:19 America/Los_Angeles] PHP Notice:  Use of undefined constant myusername - assumed 'myusername' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 50
[30-May-2013 12:21:19 America/Los_Angeles] PHP Notice:  Use of undefined constant msg - assumed 'msg' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[30-May-2013 12:21:19 America/Los_Angeles] PHP Notice:  Undefined index: msg in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[30-May-2013 12:21:20 America/Los_Angeles] PHP Notice:  Use of undefined constant newpassword - assumed 'newpassword' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[30-May-2013 12:21:20 America/Los_Angeles] PHP Notice:  Undefined index: newpassword in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[30-May-2013 12:21:20 America/Los_Angeles] PHP Notice:  A session had already been started - ignoring session_start() in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 49
[30-May-2013 12:21:20 America/Los_Angeles] PHP Notice:  Use of undefined constant myusername - assumed 'myusername' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 50
[30-May-2013 12:21:20 America/Los_Angeles] PHP Notice:  Undefined index: Submit in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 52
[30-May-2013 12:21:20 America/Los_Angeles] PHP Notice:  Use of undefined constant msg - assumed 'msg' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[31-May-2013 09:02:46 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[05-Jun-2013 16:05:36 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[06-Jun-2013 11:10:58 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[12-Jun-2013 12:04:34 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[12-Jun-2013 12:04:39 America/Los_Angeles] PHP Warning:  mysql_connect(): An operation on a socket could not be performed because the system lacked sufficient buffer space or because a queue was full.
 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\checklogin.php on line 20
[19-Jun-2013 10:37:10 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtoolAMS.php on line 21
[25-Jun-2013 11:48:56 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[26-Jun-2013 09:55:42 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[27-Jun-2013 09:33:54 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[27-Jun-2013 14:03:51 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[10-Jul-2013 13:40:05 America/Los_Angeles] PHP Notice:  Undefined index: myusername in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\checklogin.php on line 24
[10-Jul-2013 13:40:06 America/Los_Angeles] PHP Notice:  Undefined index: mypassword in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\checklogin.php on line 25
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined index: $sEnvironment in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 22
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined index: $sEnvironment in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 26
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined index: $sEnvironment in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 30
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined index: $sEnvironment in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 34
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sOE in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 68
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: stid in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Warning:  oci_error() expects parameter 1 to be resource, null given in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sOE in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 68
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: stid in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Warning:  oci_error() expects parameter 1 to be resource, null given in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sOE in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 68
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: stid in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Warning:  oci_error() expects parameter 1 to be resource, null given in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sOE in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 68
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: stid in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Warning:  oci_error() expects parameter 1 to be resource, null given in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sOE in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 68
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: stid in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Warning:  oci_error() expects parameter 1 to be resource, null given in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sMeterAug01 in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 62
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: sOE in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 68
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Notice:  Undefined variable: stid in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:34:57 America/Los_Angeles] PHP Warning:  oci_error() expects parameter 1 to be resource, null given in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 69
[11-Jul-2013 15:40:21 America/Los_Angeles] PHP Warning:  oci_execute(): ORA-00942: table or view does not exist in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\MDMSMeterUpdateQuery.php on line 66
